CODE	DESCRIPTION	vat	vat, min	vat, max	big categorie	coicop	coicop2	productos perjudiciales para el ambiente	productos no saludables	genero	gasolina	cerveza	licores	tabaco y cigarrillos	veh¡culos	alimentos	Estupefacientes	cuidado	medicamentos (medicina)	impuestos rosa	usado exclusivamente por mujeres	rol de género femenino	Categor¡a de productos por conexi¢n (infantiles*)	Para hombres
1	Pan, arepas, bollos y almojÇ­banas	0	0	0	11103	1110301	1110309	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2	Galletas de sal y de dulce	0.19	0.19	0.19	1110309	1110309		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3	Arroz, pastas alimenticias, avena, maÇðz, harinas		0	0.05	111	1110102	1110500	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4	Carne de res, cerdo, hueso y vÇðsceras	0	0	0	11202	1120201	1120202	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5	Pollo, otras aves y menudencias	0	0	0	1120204	1120204	1120400	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6	Salchichas, jamÇün, mortadela, salchichÇün	0.05	0.05	0.05	1120501	1120501		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
7	Pescado de rÇðo, mar y otros productos	0	0	0	113	1130101		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
8	Leche (animal y vegetal)	0	0	0	11401	1140101	1140401	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
9	Queso (animal y vegetal)		0	0.05	1140500	1140500		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10	Otros derivados de la leche: yogur,	0.19	0.19	0.19	1140600	1140600		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
11	Huevos	0	0	0	1140801	1140801		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
12	Aceites y grasas: aceite, manteca, mantequilla,	0.19	0.19	0.19	115	1150101	1150201	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
13	Frutas	0	0	0	11601	1160101	1160109	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
14	Verduras y hortalizas: tomate, cebolla,	0	0	0	117	1170101	1170102	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
15	Granos secos: frÇðjol, lenteja, garbanzo,	0	0	0	1170	1170601	1170602	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
16	Enlatados y encurtidos: arveja, frÇðjol,	0.19	0.19	0.19	1170902	1170902		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
17	PlÇ­tano, yuca, arracacha, Çñame, papa y	0	0	0	11705	1170501	1170502	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
18	AzÇ§car, panela y otros endulzantes		0	0.05	118	1180101	1180102	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
19	Mermeladas, arequipe, bocadillos, compotas,		0	0.19	11803	1180301	1180309	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
20	Salsas, mayonesa, mostaza, vinagre, etc.	0.19	0.19	0.19	1190303	1190303		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
21	Sal y condimentos		0	0.19	1190301	1190301		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
22	CafÇ¸, chocolate, otras bebidas con cacao	0.05	0.05	0.05	12	1220001	1240000	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
23	Papas fritas, chitos, maicitos, patacones,	0.19	0.19	0.19	11909	1190900		0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
24	Agua, gaseosas, refrescos, jugos, tÇ¸ frÇðo y otras bebidas no alcoh‹¨«licas 	0	0	0	126	1260000		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
25	Alimentos y bebidas preparados fuera	0	0	0	13	1300000		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
