DESCRIPTION,coicop,Notes,daña el ambiente,no saludable,genero,gasolina,cerveza,licores,tabaco y cigarrillos,vehículos,alimentos,estupefacientes,cuidado,medicamentos,impuestos rosa,usado exclusivamente por mujeres,rol de género femenino,infantiles,para hombres,prefix,vat,"vat, min","vat, max",prefix vat,azucar y/o hiperprocesamiento
Arroz para seco,1110101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Arroz para sopa,1110102,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Arroz integral,1110103,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Pastas o fideos para sopa: letras, conchitas, etc.",1110201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0
"Pastas para seco: espaguetis, raviolis, macarrones, tallarines, etc.",1110202,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0
Avena molida,1110301,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0
Avena en hojuelas,1110302,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.12,0.05,0.19,0.05,0
Cebada perlada,1110401,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Cuchuco de cebada para preparar,1110402,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Cuchuco de trigo para preparar,1110501,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0
Harina de trigo (incluye tempura),1110502,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0
Salvado de trigo,1110503,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0
"Maï¿½z blanco, amarillo, trillado, peto, porva, pira, millo para preparar",1110601,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Cuchuco de maï¿½z para preparar,1110602,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Harina de maï¿½z,1110603,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0
Harina precocida de maï¿½z,1110604,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,0
Fï¿½cula de maï¿½z para preparar,1110605,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Pan corriente, con queso,  aliï¿½ado, mogolla, relleno, pan de coco, calado, tajado, ï¿½rabe., para consumo en el hogar",1110801,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
Pan francï¿½s para consumo en el hogar,1110802,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Pan integral para consumo en el hogar,1110803,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Harina para preparar tortas, natilla, buï¿½uelos, etc.",1119801,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,1
Harina para coladas ,1119802,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,1
Almidones de papa o yuca,1119803,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Cereales para el desayuno,1119804,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,1
Cereales para la alimentaciï¿½n infantil (papilla),1119805,,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0.19,0.19,0.19,0.05,0
"Ajonjolï¿½, soya, quinua, sorgo (para preparar)",1119806,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Masas para la preparaciï¿½n de productos de panaderï¿½a o pastelerï¿½a  (trigo, maï¿½z, soya)",1119807,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Arepas crudas o precocidas  ,1119808,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Bollos y envueltos precocidos, quiches, tamales",1119809,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Gï¿½rmen de trigo, lecitina, levadura, linaza ",1119810,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Comidas preparadas precocidas a base de cereales (lasagna, pizza, empanadas) ",1119811,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Carne vegetal, embutidos y otros alimentos vegetarianos (a base de soya, glï¿½ten, lenteja, quinua, etc.) sin cocinar",1119812,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Galletas de sal para consumo en el hogar,1119901,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Galletas de dulce (de panaderï¿½a y de paquete) para consumo en el hogar,1119902,goods with different tax rates. Tentative VAT presented.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,1
Galletas integrales (de panaderï¿½a y de paquete) para consumo en el hogar,1119903,goods with different tax rates. Tentative VAT presented.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,1
"Otros productos de panaderï¿½a no mencionados previamente: brownies, obleas, ponques, bizcochos (pudines en Costa Atlï¿½ntica) para consumo en el hogar",1119999,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
Carne de res sin hueso o pulpa,1120101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Carne de res con hueso,1120102,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Hueso de res,1120103,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Carne molida de res,1120104,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Lengua de res,1120105,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
"Hï¿½gado, riï¿½ones, corazï¿½n, sesos, mondongo,  tripa y otras vï¿½sceras de res",1120106,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
"Patas, manos, cola  y cabeza de res",1120107,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
Carne de cerdo sin hueso o pulpa,1120201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Carne de cerdo con hueso,1120202,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Carne molida de cerdo,1120203,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Hueso de cerdo (espinazo y otros huesos),1120204,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Tocino y garra,1120205,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Hï¿½gado, riï¿½ones, corazï¿½n, tripa y otras vï¿½sceras de cerdo",1120206,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Patas, manos, cola  y cabeza de cerdo",1120207,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Gallina o pollo vivo,1120301,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Carne de gallina o de pollo (entero o en presas),1120302,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Carne de Pavo, Pichï¿½n, Zuro, Palomo, Pato  Ganso, codorniz",1120303,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Menudencias de gallina o pollo,1120304,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Conejo, liebre, Curï¿½ o cuy para consumo en el hogar",1120401,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Cordero, chivo, cabro para consumo en el hogar",1120402,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Chigï¿½iro para consumo en el hogar,1120403,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Caballo para consumo en el hogar,1120404,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Carne preparada de pavo, pollo,cerdo, lomo ahumado para consumo en el hogar",1120501,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
Mortadela,1120502,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,1
Salchichas para consumo en el hogar,1120503,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
Jamï¿½n y jamoneta para consumo en el hogar,1120504,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
Chorizo para consumo en el hogar,1120505,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
Tocineta,1120506,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
Hamburguesa para consumo en el hogar,1120507,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
Carnes frï¿½as enlatadas,1120509,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,1
"Otros embutidos de proteina animal (longaniza, butifarra, gï¿½novas, salchichï¿½n, salami, cï¿½banos, patï¿½s, etc) para consumo en el hogar",1120599,goods with different tax rates. Tentative VAT presented.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.05,0.05,0.05,0.05,1
"Otros alimentos no especificados: Hormigas culonas, etc. ",1129901,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Pescado de rï¿½o fresco o congelado,1130101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Pescado de mar fresco o congelado,1130201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Camarones frescos o congelados,1130202,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Pescado y crustï¿½ceos enlatados (sardinas, atï¿½n, salmï¿½n, mejillones, etc.)",1130203,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Otros mariscos, crustï¿½ceos y moluscos frescos o congelados",1130298,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Otros productos de pescado y derivados para consumo en el hogar,1130299,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Leche cruda para consumo en el hogar,1140101,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Leche pasteurizada (entera, descremada, semidescremada, deslactosada y enriquecida) para consumo en el hogar",1140102,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Leche larga vida (entera, descremada, semidescremada, deslactosada y enriquecida) para consumo en el hogar",1140103,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Leche en polvo (entera, descremada, semidescremada) para consumo en el hogar",1140105,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Queso campesino para consumo en el hogar,1140201,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Queso doble crema para consumo en el hogar,1140202,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Cuajada, quesillo para consumo en el hogar",1140204,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
"Otros quesos: pera, mozarella, paipa, parmesano, etc. para consumo en el hogar",1140299,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Huevos crudos de gallina y otras aves para consumo en el hogar,1140501,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.05,0
Huevos crudos de iguana y de tortuga para consumo en el hogar,1140502,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
"Leche condensada, leche condensada y evaporada y crema chantilly para consumo en el hogar",1149901,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Crema de leche,1149902,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Yogurt para consumo en el hogar,1149903,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
Kumis para consumo en el hogar,1149904,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.19,0.19,0.19,0.05,0
