Milcil,Patrimonio Bruto,Deudas,Total Patrimonio líquido,Ingresos brutos por rentas de trabajo,Ingresos no constitutivos de renta por renta de trabajo,Costos y deducciones procedentes - rentas de trabajo,Renta líquida,Rentas exentas de trabajo y deducciones imputables,Rentas exentas de trabajo y deducciones imputables (limitadas),Renta líquida cedular de trabajo,Ingresos brutos rentas de capital,Ingresos no constitutivos de renta,Costos y gastos procedentes,Renta líquida.1,Rentas líquidas pasivas de capital,Rentas exentas y deducciones imputables a las rentas de capital,Rentas exentas de capital y deducciones imputables (limitadas) ,Renta líquida ordinaria del ejercicio,Pérdida liquida del ejercicio ,Compensación por pérdidas,Renta líquida de capital,Ingresos brutos rentas no laborales,"Devoluciones, rebajas y descuentos",Ingresos no constitutivos de renta.1,Costos y gastos procedentes.1,Renta líquida.2,Rentas líquidas pasivas no laborales,Rentas exentas y deducciones imputables a las rentas no laborales,Rentas exentas no laborales y deducciones imputables (limitadas) ,Renta líquida ordinaria del ejercicio.1,Pérdida liquida del ejercicio .1,Compensaciones por pérdidas rentas no laborales,Renta líquida cedular no laboral,Renta líquida cédula general,Rentas exentas y deducciones imputables limitadas,Renta líquida ordinaria cédula general,Compensaciones por pérdiadas año gravable 2016 y anteriores,Compensaciones por exceso de renta presuntiva,Rentas gravables,Renta líquida gravable cédula general,Renta presuntiva,Ingresos brutos por rentas de pensiones del país y del exterior,Ingresos no constitutivos de renta.2,Renta líquida.3,Rentas exentas de pensiones,Renta líquida gravable cedula de pensiones,"Dividendos y participaciones 2016 y anteriores, y otros",Ingresos no constitutivos de renta.3,Renta líquida ordinaria 2016 y anteriores,1a. Subcédula año 2017 y siguientes numeral 3 art. 49 del E.T.,2a. Subcédula año 2017 y siguientes parágrafo 2 art. 49 del E.T.,Renta líquida pasiva dividendos - ECE y/o recibidos del exterior,Rentas exentas de la casilla 79,Ingresos por ganancias ocasionales del país y del exterior,Costos por ganancias ocasionales,Ganancias ocasionales no gravadas y exentas,Ganancias ocasionales gravables,General y de pensiones,o Renta presuntiva y de pensiones,Por dividendos y participaciones año 2016 (base casilla 76),"Por dividendos y participaciones año 2017 y siguientes, 1a Subcédula","Por dividendos y participaciones año 2017 y siguientes, 2a. Subcédula, y otros",Total impuesto sobre rentas líquidas gravables,Impuestos pagados en el exterior,Donaciones,Otros,Total descuentos tributarios,Impuesto neto de renta ,Impuesto de ganancias ocasionales,Descuento por impuestos pagados en el exterior por ganancias ocasionales,Total impuesto a cargo,Anticipo de renta liquidado año gravable anterior,Saldo a favor año gravable anterior sin solicitud de devolución y/o compensación ,Total retenciones año gravable a declarar,Anticipo renta por el año gravable siguiente,Saldo a pagar por impuesto ,Sanciones,Total saldo a pagar,Total saldo a favor ,Número de casos
78,52399348.7578157,99937125.6190481,3.47521122270046,54506373.6570948,4098068.65500115,1148374.21400358,49316283.5556831,18440382.5995005,17826701.0043042,31491189.899272,912614.495633845,54501.1141222523,430547.988734789,535031.110402607,563.816710062525,21574.0673432878,18121.7174132526,517813.773314204,107539.557978639,1426.05877039163,516856.035566892,13050252.8469455,86953.8551463946,795689.402554156,9088882.11204988,3618634.03298085,1605.51925536249,87910.2290238589,82013.7910267992,3539025.87102751,539583.293834246,1472.83419239421,3538648.4581292,53387104.8661459,17929186.1452079,35460885.5473723,666.067980941247,5083.53260003188,1961.48573250438,35458247.0968702,113222.42414581,7108493.51382114,671974.773721593,6446189.98724339,6264763.78677223,229179.924544343,33360.8374515118,39626.6362010025,3680.53917140479,37757.7129496785,1601.76417450449,794.285916715376,13.3907221425155,3769802.62500664,3313358.65171724,343766.158315178,445494.213295074,1713971.01865136,731.338895088297,12.5830277910622,4745.06261402483,825.576987796022,1720290.58221301,9975.25550418903,9950.27720211843,23702.3717165276,43627.9044228351,1693248.5573091,34124.1156986733,277.875197052624,1727118.82671768,91694.5073241582,402515.319623784,1756367.89237827,84984.4200010628,193495.963299502,19759.7817808243,204554.290876242,623260.479657084,282285
79,18592492.2749068,18552380.9270112,40111.3478955781,34209731.752797,2191401.97123069,977033.564198189,31043663.292488,10841680.3409696,10615108.4176878,20428554.8748002,908768.779968034,6962.70644645711,296857.751731486,614094.033031433,502.663825253063,14942.7277570591,13594.8321790091,601001.864677677,9145.71257325519,0.0,601001.864677677,15764077.5173149,57774.9067661162,733578.582844965,8848420.88438998,6238062.86627597,3824.18753329782,151699.254128929,130026.904635056,6111860.14917421,113759.722962174,10892.3814597762,6100967.76771444,37872247.7357485,10758730.1545019,27113517.5812467,0.0,1366.80873734683,0.0,27112150.7725093,104262.120404901,6078015.18380394,557321.79009057,5523363.07938199,5436737.08044752,138066.329248801,8537.8263185935,8537.8263185935,0.0,2658.23122003197,0.0,0.0,0.0,3896497.60255727,2941218.9664358,504711.241342568,542516.249334044,637955.247735749,895.578050079915,0.0,0.0,0.0,638850.825785828,1226.42514651039,10441.3958444326,1831.11347895578,13498.9344698988,633690.463505594,50582.3122003197,39.957378795951,684272.775705914,36890.2503995738,258587.906233351,884033.564198189,35371.6036228023,69958.4443260522,30346.8300479489,88109.7496004262,517630.261054875,3754
80,30014004.4052863,29836237.6101322,177766.795154185,37903081.222467,2544883.81057269,979933.645374449,34383236.5088106,12025430.8920705,11816378.5792952,22566857.9295154,1087843.6123348,72752.4779735683,407257.433920705,624644.823788546,0.0,19113.7114537445,14675.6607929515,609969.162995595,16811.1233480176,13.4911894273128,609955.671806167,15591074.6145374,163659.966960352,552054.240088106,9399969.43832599,5594621.69603524,0.0,95418.7775330397,89319.9339207049,5505301.76211454,119230.726872247,0.0,5505301.76211454,40563659.9669604,11921816.9052863,28641843.061674,6332.59911894273,2778.90969162996,245.594713656388,28645642.345815,143943.00660793,3765104.90088106,329172.907488987,3445503.85462555,3352310.29735683,108038.821585903,565.528634361233,4374.72466960352,320.759911894273,2284.96696035242,45.4295154185022,0.0,0.0,4583759.63656388,3673341.68502203,498322.136563877,513580.671806167,712225.220264317,0.0,0.0,0.0,14.8678414096916,712240.088105727,1036.89427312775,3609.85682819383,8793.50220264317,13440.2533039648,703037.169603524,45843.8876651982,0.0,748881.057268723,54865.9140969163,286404.735682819,863363.436123348,58300.3854625551,84167.1255506608,27768.4471365639,102531.387665198,472215.583700441,3632
81,30774267.5511332,30432841.0724157,341426.478717523,38827664.1791045,2804644.27860697,865093.974571587,35177459.9226092,12111445.5500276,11902821.1719182,23274638.750691,1079617.46821448,32645.1077943615,419817.302377004,657437.810945274,78.7728026533997,11521.8352681039,10301.2714206744,647215.312327253,30282.7529021559,0.0,647215.312327253,16797895.7987839,92004.9751243781,692969.872857933,10747714.7595357,5365620.50856827,1933.11221669431,110530.679933665,92888.6124930901,5274665.00829187,100414.317302377,0.0,5274665.00829187,41185395.7987839,12006011.055832,29179384.7429519,0.0,4627.14206744057,0.0,29174757.6008845,117148.977335545,4126275.56661139,334085.406301824,3793729.96130459,3752739.91155334,150529.021558872,2528.19237147595,11663.9027086788,1009.95024875622,2732.72526257601,0.0,0.0,0.0,4170216.14151465,3585408.2365948,369820.066334992,386659.2039801,667651.188501935,0.0,0.0,0.0,0.0,667651.188501935,0.0,3566.88778330569,7706.46766169154,11273.3554449972,662382.531785517,28187.6727473742,0.0,690570.204532891,45201.7689331122,225149.806522941,813679.380873411,45773.9082365948,97729.6849087894,26237.9767827529,115423.991155334,436872.857932559,3618
82,31493997.7991747,30988038.7895461,505959.009628611,39508226.96011,2809704.26409904,978457.221458047,35758278.6795048,12420777.3314993,12215233.562586,23543045.1169188,664557.083906465,20847.0426409904,205746.629986245,466196.148555708,16.2310866574966,12242.3658872077,12065.4745529574,454146.905089409,28232.7372764787,34.6629986244842,454146.905089409,14899228.0605227,158908.94085282,454606.052269601,8866253.37001376,5542483.90646492,0.0,128674.828060523,99837.4140302614,5442646.49243466,123024.209078404,1059.14718019257,5441587.34525447,41762475.3782668,12327136.4511692,29435338.9270977,0.0,2136.45116918845,160.385144429161,29433362.8610729,92439.3397524072,3437081.70563961,303714.718019257,3133572.48968363,2955072.07702889,178502.888583219,10909.7661623109,20757.0839064649,43.4662998624484,6534.52544704264,0.0,0.0,0.0,2832532.5997249,2307135.6258597,223155.158184319,415699.862448418,712284.456671252,445.116918844567,0.0,106.740027510316,0.0,712836.313617607,2971.6643741403,3200.55020632737,13395.3232462173,19567.537826685,702640.990371389,42204.1265474553,178.817056396149,744845.116918845,39729.0233837689,232011.554332875,856167.537826685,31662.1733149931,95251.1691884457,25615.1306740027,110794.222833563,436579.917469051,3635
83,35104799.8889814,34429376.0754926,675423.813488759,41460246.7388288,2827678.32361921,1026321.67638079,37610480.4329725,13185682.764363,12938792.3952262,24671688.0377463,961636.96919234,40700.2497918401,391930.89092423,550804.329725229,56.8970302525673,14973.0779905634,14049.6808215376,536811.545933944,21798.5012489592,0.0,536811.545933944,12461416.8748265,138983.347210658,467999.722453511,6978188.73161255,5070598.39023036,1184.29086872051,76719.9555925618,68230.9186788787,5003551.76242021,194353.316680544,11657.7851790175,4991893.97724119,43189220.9270053,13021072.9947266,30168147.9322787,0.0,2099.91673605329,28.5872883708021,30166076.602831,106612.822647794,3685440.18873161,345312.794893145,3366287.81570913,3182003.05301138,192711.629197891,2253.95503746878,2103.52484041077,150.430197058007,4299.47266167083,405.217873993894,0.0,0.0,3113127.67138496,2579958.92311962,278656.95253955,354449.347765751,716257.563141826,11.1018595614765,0.0,0.0,133.499861226755,716402.164862615,9549.81959478213,6558.14598945323,2362.19816819317,18470.1637524285,702965.029142381,34379.9611434915,0.0,737344.990285873,36320.5661948376,231040.799333888,862499.583680267,52481.26561199,89346.6555648071,27888.9814043852,106031.362753261,418177.074660006,3603
84,36133853.2488987,35288321.0352423,845532.213656388,41737545.9801762,2897161.34361233,1144750.82599119,37764303.4140969,13115970.814978,12865681.1674009,24898622.246696,983347.466960352,32003.0286343612,455705.396475771,539351.046255507,4.68061674008811,7069.93392070485,6789.64757709251,532566.079295154,43712.0044052864,0.0,532566.079295154,16836058.3700441,136174.008810573,620969.438325991,11111028.3590308,5019906.93832599,200.991189427313,65100.2202643172,55973.5682819383,4964134.36123348,52020.3744493392,0.0,4964134.36123348,43302092.2356828,12930875.8259912,30371216.4096916,0.0,3052.86343612335,0.0,30368163.5462555,96816.6299559471,4122521.75110132,349969.988986784,3773223.56828194,3707001.92731278,157029.735682819,528.083700440529,973.843612334802,376.651982378855,6570.20925110132,0.0,0.0,0.0,2171141.51982379,1986110.13215859,59241.7400881057,226459.251101322,753917.400881057,0.0,0.0,223.843612334802,0.0,754141.244493392,5969.16299559471,4148.40308370044,5604.90088105727,15722.4669603524,740692.731277533,16271.2004405286,0.0,756963.931718062,33192.731277533,212006.332599119,848836.178414097,39376.3766519824,88403.0837004405,22509.9118942731,102581.497797357,377766.519823789,3632
85,32786805.2019922,31786636.6906475,1000168.51134477,39316914.2224682,2802154.39955728,1051536.80132817,35482567.2385169,12277565.8550083,12021057.2772551,23461509.9612618,789675.705589375,21769.2307692308,276988.931931378,525831.48865523,2739.3469839513,8788.04648588821,8026.00996126176,517837.852794687,32206.9728832319,0.0,517837.852794687,14508161.8705036,123575.539568345,801827.891532928,8331167.40453791,5326500.0,0.0,92223.5749861649,90870.5035971223,5235629.49640288,74908.9651355838,3807.69230769231,5231821.80409519,41319992.5290537,12124657.7199779,29195334.8090758,0.0,2093.52517985612,0.0,29193241.283896,127745.987825125,3662286.38627559,340761.20641948,3361364.13945766,3237010.23796348,155947.426674045,510.514665190924,4638.07415605977,264.803541781959,626.729385722192,0.0,0.0,0.0,2926710.29330382,2356942.44604317,334416.712783619,373283.619258439,685627.006087438,3.87382401770891,0.0,0.0,0.0,685630.879911455,7771.16768123962,5459.60154952961,8411.4554510238,21642.224681793,667342.280022136,31103.7631433315,0.0,698446.043165468,30826.5080243497,200702.545655783,840127.559490869,41616.4914222468,73883.5085777532,29555.0636413946,91742.6674045379,393781.682346431,3614
86,38321439.7905759,37174371.4521907,1147068.33838523,41330788.3714522,2867384.12785891,952936.346100854,37515781.7580601,13268139.9834665,12983830.2562689,24531951.5017911,888786.718104161,47145.7701846239,343366.767704602,551759.713419675,90.6585836318545,13947.0928630477,13387.9856709837,538462.386332323,53485.5332047396,0.0,538462.386332323,14194133.3700744,19308.6249655553,510958.390741251,8295213.55745384,5416935.24386883,48.4982088729678,61345.2741802149,61345.2741802149,5355638.46789749,48282.446955084,0.0,5366723.06420502,43447238.6332323,13063215.2108019,30390183.2460733,0.0,2084.87186552769,0.0,30395663.5436759,106255.993386608,4155477.8175806,370898.31909617,3784579.49848443,3640491.87103885,155569.853954257,279.691375034445,20825.8473408653,49.0493248828878,3075.22733535409,0.0,0.0,0.0,2746079.63626343,2515439.51501791,161739.873243318,246588.591898595,783332.322953982,0.0,0.0,0.0,0.0,783332.322953982,10393.221273078,4139.15679250482,2237.2554422706,16769.6335078534,768033.3425186,17456.3240562138,0.0,785489.666574814,36687.2416643703,252066.409479195,904251.033342519,40321.3006337834,78299.8071093965,24050.9782309176,94015.7068062827,437158.445852852,3629
87,35343658.556815,34031884.9875588,1311773.56925629,42020894.8023224,2869473.87337573,1132204.86591098,38043502.2117777,13435228.6425214,13120272.0486591,24937941.9408349,741548.797345867,50200.1658833287,271256.566215095,484259.88388167,0.0,12212.6071329831,11088.4711086536,473171.412773016,64167.8186342273,0.276472214542438,473171.136300802,14320283.9369643,30825.5460326237,505065.247442632,8718058.05916505,5134932.54077965,2853.19325407797,63567.5974564556,63504.0088471109,5074281.72518662,68597.4564556262,36.4943323196019,5074245.2308543,43662387.890517,13194864.5286149,30467523.3619021,0.0,2800.11058888582,0.0,30464723.2513132,140116.118330108,4477458.1144595,384975.117500691,4093250.76029859,3987539.950235,114534.97373514,913.740669062759,0.0,913.740669062759,35388.7199336467,0.0,0.0,0.0,3240877.52280896,2881855.12855958,128000.829416644,360138.7890517,715757.533867846,0.0,0.0,3688.69228642521,0.0,719446.226154272,1398.94940558474,3418.02598838817,3514.23831904894,8331.21371302184,714706.662980371,29693.1158418579,91.2358307990047,744308.542991429,40544.6502626486,256293.060547415,860366.325684269,51640.5861210948,102416.92009953,27543.2679015759,119251.313243019,452817.804810617,3617
